stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
45,0.5,7.5,52.64473820000421,,52.629490899969824,52.64473820000421,53.14494100003503,53.14494100003503,53.14494100003503,53.44480069994461,53.71314769994933,right,7.5,1,1,0.5508437999524176,342646,001,2024-09-12_23h04.36.372,adaptive_staircase 222,2024.1.5,None,2024-09-12 23h04.42.409527 +0530,
46,0.5,7.5,53.728145099943504,,53.71322759997565,53.728145099943504,54.228033300023526,54.228033300023526,54.228033300023526,54.5280308999354,54.62874049996026,right,7.5,1,1,0.3932190000778064,342646,001,2024-09-12_23h04.36.372,adaptive_staircase 222,2024.1.5,None,2024-09-12 23h04.42.409527 +0530,
47,0.5,7.5,54.64469220000319,,54.628813199931756,54.64469220000319,55.12801039998885,55.12801039998885,55.144609799957834,55.427929600002244,55.561894300044514,right,7.5,1,1,0.431809899979271,342646,001,2024-09-12_23h04.36.372,adaptive_staircase 222,2024.1.5,None,2024-09-12 23h04.42.409527 +0530,
48,0.5,7.0,55.57804329995997,,55.56197100004647,55.57804329995997,56.06178380001802,56.06178380001802,56.07768959994428,56.360964499996044,56.428740600007586,right,7.0,1,1,0.35315409989561886,342646,001,2024-09-12_23h04.36.372,adaptive_staircase 222,2024.1.5,None,2024-09-12 23h04.42.409527 +0530,
49,0.5,7.0,56.44431859999895,,56.428821800043806,56.44431859999895,56.944392499979585,56.944392499979585,56.944392499979585,57.244399999966845,57.29512829997111,left,-7.0,0,0,0.34237209998536855,342646,001,2024-09-12_23h04.36.372,adaptive_staircase 222,2024.1.5,None,2024-09-12 23h04.42.409527 +0530,
50,0.5,7.5,57.311454999959096,,57.29520950000733,57.311454999959096,57.81164790003095,57.81164790003095,57.81164790003095,58.11092030000873,58.41195840004366,left,-7.5,1,1,0.5884736999869347,342646,001,2024-09-12_23h04.36.372,adaptive_staircase 222,2024.1.5,None,2024-09-12 23h04.42.409527 +0530,
51,0.5,7.5,58.42760539997835,,58.412037699948996,58.42760539997835,58.91103269997984,58.91103269997984,58.927701900014654,59.21078890003264,59.37830019998364,left,-7.5,1,1,0.45686090004164726,342646,001,2024-09-12_23h04.36.372,adaptive_staircase 222,2024.1.5,None,2024-09-12 23h04.42.409527 +0530,
52,0.5,7.5,59.39414540003054,,59.378399300039746,59.39414540003054,59.87722989998292,59.87722989998292,59.89419200003613,60.177349200006574,60.212065599975176,left,-7.5,1,1,0.33287469996139407,342646,001,2024-09-12_23h04.36.372,adaptive_staircase 222,2024.1.5,None,2024-09-12 23h04.42.409527 +0530,
53,0.5,7.0,60.22745719994418,,60.212148100021295,60.22745719994418,60.72820370004047,60.72820370004047,60.72820370004047,61.027346699964255,61.06164550001267,left,-7.0,1,1,0.3214959999313578,342646,001,2024-09-12_23h04.36.372,adaptive_staircase 222,2024.1.5,None,2024-09-12 23h04.42.409527 +0530,
54,0.5,7.0,61.077350500039756,,61.061739500029944,61.077350500039756,61.577046699938364,61.577046699938364,61.577046699938364,61.87724399997387,62.11135939997621,right,7.0,1,1,0.5219012999441475,342646,001,2024-09-12_23h04.36.372,adaptive_staircase 222,2024.1.5,None,2024-09-12 23h04.42.409527 +0530,
